                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.0685,                0.52511,                0.81714,                0.84857,                0.71876,                0.77006,                0.48376,                 1.0471,                0.51084,                0.82636,              0.0007055,              0.0007055,              0.0007055
                     46,                  1.059,                0.51591,                0.81512,                0.85011,                0.71612,                0.78171,                0.48662,                 1.0871,                0.50761,                0.83114,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.0814,                0.52202,                0.81696,                0.85248,                0.74604,                 0.7876,                0.47038,                 1.0631,                0.52206,                0.82787,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.0695,                 0.5181,                0.81486,                0.84435,                0.73424,                0.77474,                0.47953,                 1.0925,                 0.5145,                0.82805,             0.00066838,             0.00066838,             0.00066838
                     49,                 1.0491,                0.50689,                0.81041,                0.87486,                0.71322,                0.77111,                0.48701,                 1.0529,                0.48985,                0.82884,               0.000656,               0.000656,               0.000656
                     50,                 1.0516,                0.51326,                0.81443,                0.85493,                0.74945,                0.78194,                0.47185,                 1.1097,                0.53513,                0.82885,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.0572,                0.51664,                0.81292,                0.91367,                0.70844,                0.78809,                0.48112,                  1.056,                0.50383,                0.82805,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.0516,                0.50576,                 0.8122,                0.94717,                0.74233,                0.79665,                0.49776,                 1.0601,                0.50051,                0.82683,             0.00061887,             0.00061887,             0.00061887
                     53,                  1.049,                0.51011,                0.81261,                0.88039,                0.70288,                0.77239,                0.47329,                 1.0873,                 0.5182,                0.83733,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.0387,                0.50409,                0.81106,                0.89407,                0.73251,                0.80084,                0.47432,                  1.136,                 0.5006,                0.83366,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.0396,                0.50249,                0.81137,                 0.8622,                0.70746,                0.76746,                0.46353,                 1.0645,                0.50379,                0.82874,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.0321,                0.50013,                0.80942,                0.93971,                0.71673,                0.79622,                 0.4917,                 1.0517,                0.48271,                0.82805,             0.00056938,             0.00056938,             0.00056938
                     57,                  1.036,                0.50126,                0.81183,                0.85425,                0.72461,                0.78449,                0.49482,                 1.0548,                0.49455,                0.82399,               0.000557,               0.000557,               0.000557
                     58,                   1.04,                0.50177,                0.81148,                0.93663,                 0.6926,                0.79487,                0.48119,                 1.0704,                0.49269,                  0.827,             0.00054463,             0.00054463,             0.00054463
                     59,                 1.0627,                0.51003,                0.81445,                0.90211,                0.72053,                0.78991,                0.47524,                 1.1204,                0.50286,                0.83467,             0.00053225,             0.00053225,             0.00053225
                     60,                 1.0313,                0.49697,                0.80697,                0.91606,                0.70245,                0.79598,                 0.5091,                 1.0365,                0.47828,                0.82708,             0.00051988,             0.00051988,             0.00051988
